station_number,station_name,year,expected_hours,present_hours,coverage_fraction,hourly_weather_qc_status,source
730030,Cold HDU Climate Station 7 (demo),2023,8760,8147,0.93,COMPLETE,fixture
730031,Cold HDU Climate Station 1 (demo),2023,8760,8147,0.93,COMPLETE,fixture
730032,Cold HDU Climate Station 2 (demo),2023,8760,7972,0.91,COMPLETE,fixture
730033,Cold HDU Climate Station 3 (demo),2023,8760,7972,0.91,COMPLETE,fixture
730034,Cold HDU Climate Station 4 (demo),2023,8760,7796,0.89,INCOMPLETE,fixture
730035,Cold HDU Climate Station 5 (demo),2023,8760,7796,0.89,INCOMPLETE,fixture
730036,Cold HDU Climate Station 6 (demo),2023,8760,7621,0.87,INCOMPLETE,fixture
730037,Cold HDU Climate Station 7 (demo),2023,8760,7621,0.87,INCOMPLETE,fixture
730038,Cold HDU Climate Station 1 (demo),2023,8760,7446,0.85,INCOMPLETE,fixture
730039,Cold HDU Climate Station 2 (demo),2023,8760,7271,0.83,INCOMPLETE,fixture
730040,Cold HDU Climate Station 3 (demo),2023,8760,7271,0.83,INCOMPLETE,fixture
730041,Cold HDU Climate Station 4 (demo),2023,8760,7096,0.81,INCOMPLETE,fixture
730042,Cold HDU Climate Station 5 (demo),2023,8760,7096,0.81,INCOMPLETE,fixture
730043,Cold HDU Climate Station 6 (demo),2023,8760,8760,1.0,COMPLETE,fixture
730044,Cold HDU Climate Station 7 (demo),2023,8760,8760,1.0,COMPLETE,fixture
730045,Cold HDU Climate Station 1 (demo),2023,8760,8585,0.98,COMPLETE,fixture
730046,Cold HDU Climate Station 2 (demo),2023,8760,8585,0.98,COMPLETE,fixture
730047,Cold HDU Climate Station 3 (demo),2023,8760,8410,0.96,COMPLETE,fixture
730048,Cold HDU Climate Station 4 (demo),2023,8760,8410,0.96,COMPLETE,fixture
730049,Cold HDU Climate Station 5 (demo),2023,8760,8234,0.94,COMPLETE,fixture
730050,Cold HDU Climate Station 6 (demo),2023,8760,8234,0.94,COMPLETE,fixture
730051,Cold HDU Climate Station 7 (demo),2023,8760,8059,0.92,COMPLETE,fixture
730052,Cold HDU Climate Station 1 (demo),2023,8760,8059,0.92,COMPLETE,fixture
730053,Cold HDU Climate Station 2 (demo),2023,8760,7884,0.9,COMPLETE,fixture
730054,Cold HDU Climate Station 3 (demo),2023,8760,7884,0.9,COMPLETE,fixture
730055,Cold HDU Climate Station 4 (demo),2023,8760,7709,0.88,INCOMPLETE,fixture
730056,Cold HDU Climate Station 5 (demo),2023,8760,7709,0.88,INCOMPLETE,fixture
730057,Cold HDU Climate Station 6 (demo),2023,8760,7534,0.86,INCOMPLETE,fixture
730058,Cold HDU Climate Station 7 (demo),2023,8760,7534,0.86,INCOMPLETE,fixture
730059,Cold HDU Climate Station 1 (demo),2023,8760,7358,0.84,INCOMPLETE,fixture
730060,Cold HDU Climate Station 2 (demo),2023,8760,7358,0.84,INCOMPLETE,fixture
730061,Cold HDU Climate Station 3 (demo),2023,8760,7183,0.82,INCOMPLETE,fixture
730062,Cold HDU Climate Station 4 (demo),2023,8760,7183,0.82,INCOMPLETE,fixture
730063,Cold HDU Climate Station 5 (demo),2023,8760,7008,0.8,INCOMPLETE,fixture
730064,Cold HDU Climate Station 6 (demo),2023,8760,7008,0.8,INCOMPLETE,fixture
730065,Cold HDU Climate Station 7 (demo),2023,8760,8672,0.99,COMPLETE,fixture
730066,Cold HDU Climate Station 1 (demo),2023,8760,8672,0.99,COMPLETE,fixture
730067,Cold HDU Climate Station 2 (demo),2023,8760,8497,0.97,COMPLETE,fixture
730068,Cold HDU Climate Station 3 (demo),2023,8760,8497,0.97,COMPLETE,fixture
730069,Cold HDU Climate Station 4 (demo),2023,8760,8322,0.95,COMPLETE,fixture
730070,Cold HDU Climate Station 5 (demo),2023,8760,8322,0.95,COMPLETE,fixture
730071,Cold HDU Climate Station 6 (demo),2023,8760,8147,0.93,COMPLETE,fixture
730072,Cold HDU Climate Station 7 (demo),2023,8760,8147,0.93,COMPLETE,fixture
730073,Cold HDU Climate Station 1 (demo),2023,8760,7972,0.91,COMPLETE,fixture
730074,Cold HDU Climate Station 2 (demo),2023,8760,7972,0.91,COMPLETE,fixture
730075,Cold HDU Climate Station 3 (demo),2023,8760,7796,0.89,INCOMPLETE,fixture
730076,Cold HDU Climate Station 4 (demo),2023,8760,7621,0.87,INCOMPLETE,fixture
730077,Cold HDU Climate Station 5 (demo),2023,8760,7621,0.87,INCOMPLETE,fixture
730078,Cold HDU Climate Station 6 (demo),2023,8760,7446,0.85,INCOMPLETE,fixture
730079,Cold HDU Climate Station 7 (demo),2023,8760,7446,0.85,INCOMPLETE,fixture
730080,Cold HDU Climate Station 1 (demo),2023,8760,7271,0.83,INCOMPLETE,fixture
730081,Cold HDU Climate Station 2 (demo),2023,8760,7271,0.83,INCOMPLETE,fixture
730082,Cold HDU Climate Station 3 (demo),2023,8760,7096,0.81,INCOMPLETE,fixture
730083,Cold HDU Climate Station 4 (demo),2023,8760,7096,0.81,INCOMPLETE,fixture
730084,Cold HDU Climate Station 5 (demo),2023,8760,8760,1.0,COMPLETE,fixture
730085,Cold HDU Climate Station 6 (demo),2023,8760,8760,1.0,COMPLETE,fixture
730086,Cold HDU Climate Station 7 (demo),2023,8760,8585,0.98,COMPLETE,fixture
730087,Cold HDU Climate Station 1 (demo),2023,8760,8585,0.98,COMPLETE,fixture
730088,Cold HDU Climate Station 2 (demo),2023,8760,8410,0.96,COMPLETE,fixture
730089,Cold HDU Climate Station 3 (demo),2023,8760,8410,0.96,COMPLETE,fixture
730090,Cold HDU Climate Station 4 (demo),2023,8760,8234,0.94,COMPLETE,fixture
730091,Cold HDU Climate Station 5 (demo),2023,8760,8234,0.94,COMPLETE,fixture
730092,Cold HDU Climate Station 6 (demo),2023,8760,8059,0.92,COMPLETE,fixture
730093,Cold HDU Climate Station 7 (demo),2023,8760,8059,0.92,COMPLETE,fixture
730094,Cold HDU Climate Station 1 (demo),2023,8760,7884,0.9,COMPLETE,fixture
730095,Cold HDU Climate Station 2 (demo),2023,8760,7884,0.9,COMPLETE,fixture
730096,Cold HDU Climate Station 3 (demo),2023,8760,7709,0.88,INCOMPLETE,fixture
730097,Cold HDU Climate Station 4 (demo),2023,8760,7709,0.88,INCOMPLETE,fixture
730098,Cold HDU Climate Station 5 (demo),2023,8760,7534,0.86,INCOMPLETE,fixture
730099,Cold HDU Climate Station 6 (demo),2023,8760,7534,0.86,INCOMPLETE,fixture
730100,Cold HDU Climate Station 7 (demo),2023,8760,7358,0.84,INCOMPLETE,fixture
730101,Cold HDU Climate Station 1 (demo),2023,8760,7358,0.84,INCOMPLETE,fixture
730102,Cold HDU Climate Station 2 (demo),2023,8760,7183,0.82,INCOMPLETE,fixture
730103,Cold HDU Climate Station 3 (demo),2023,8760,7183,0.82,INCOMPLETE,fixture
730104,Cold HDU Climate Station 4 (demo),2023,8760,7008,0.8,INCOMPLETE,fixture
730105,Cold HDU Climate Station 5 (demo),2023,8760,7008,0.8,INCOMPLETE,fixture
730106,Cold HDU Climate Station 6 (demo),2023,8760,8672,0.99,COMPLETE,fixture
730107,Cold HDU Climate Station 7 (demo),2023,8760,8672,0.99,COMPLETE,fixture
730108,Cold HDU Climate Station 1 (demo),2023,8760,8497,0.97,COMPLETE,fixture
730109,Cold HDU Climate Station 2 (demo),2023,8760,8497,0.97,COMPLETE,fixture
730110,Cold HDU Climate Station 3 (demo),2023,8760,8322,0.95,COMPLETE,fixture
730111,Cold HDU Climate Station 4 (demo),2023,8760,8322,0.95,COMPLETE,fixture
730112,Cold HDU Climate Station 5 (demo),2023,8760,8147,0.93,COMPLETE,fixture
730113,Cold HDU Climate Station 6 (demo),2023,8760,7972,0.91,COMPLETE,fixture
730114,Cold HDU Climate Station 7 (demo),2023,8760,7972,0.91,COMPLETE,fixture
730115,Cold HDU Climate Station 1 (demo),2023,8760,7796,0.89,INCOMPLETE,fixture
730116,Cold HDU Climate Station 2 (demo),2023,8760,7796,0.89,INCOMPLETE,fixture
730117,Cold HDU Climate Station 3 (demo),2023,8760,7621,0.87,INCOMPLETE,fixture
730118,Cold HDU Climate Station 4 (demo),2023,8760,7621,0.87,INCOMPLETE,fixture
730119,Cold HDU Climate Station 5 (demo),2023,8760,7446,0.85,INCOMPLETE,fixture
730120,Cold HDU Climate Station 6 (demo),2023,8760,7446,0.85,INCOMPLETE,fixture
730121,Cold HDU Climate Station 7 (demo),2023,8760,7271,0.83,INCOMPLETE,fixture
730122,Cold HDU Climate Station 1 (demo),2023,8760,7271,0.83,INCOMPLETE,fixture
730123,Cold HDU Climate Station 2 (demo),2023,8760,7096,0.81,INCOMPLETE,fixture
730124,Cold HDU Climate Station 3 (demo),2023,8760,7096,0.81,INCOMPLETE,fixture
730125,Cold HDU Climate Station 4 (demo),2023,8760,8760,1.0,COMPLETE,fixture
730126,Cold HDU Climate Station 5 (demo),2023,8760,8760,1.0,COMPLETE,fixture
730127,Cold HDU Climate Station 6 (demo),2023,8760,8585,0.98,COMPLETE,fixture
730128,Cold HDU Climate Station 7 (demo),2023,8760,8585,0.98,COMPLETE,fixture
730129,Cold HDU Climate Station 1 (demo),2023,8760,8410,0.96,COMPLETE,fixture
730130,Cold HDU Climate Station 2 (demo),2023,8760,8410,0.96,COMPLETE,fixture
730131,Cold HDU Climate Station 3 (demo),2023,8760,8234,0.94,COMPLETE,fixture
730132,Cold HDU Climate Station 4 (demo),2023,8760,8234,0.94,COMPLETE,fixture
730133,Cold HDU Climate Station 5 (demo),2023,8760,8059,0.92,COMPLETE,fixture
730134,Cold HDU Climate Station 6 (demo),2023,8760,8059,0.92,COMPLETE,fixture
730135,Cold HDU Climate Station 7 (demo),2023,8760,7884,0.9,COMPLETE,fixture
730136,Cold HDU Climate Station 1 (demo),2023,8760,7884,0.9,COMPLETE,fixture
730137,Cold HDU Climate Station 2 (demo),2023,8760,7709,0.88,INCOMPLETE,fixture
730138,Cold HDU Climate Station 3 (demo),2023,8760,7709,0.88,INCOMPLETE,fixture
730139,Cold HDU Climate Station 4 (demo),2023,8760,7534,0.86,INCOMPLETE,fixture
730140,Cold HDU Climate Station 5 (demo),2023,8760,7534,0.86,INCOMPLETE,fixture
730141,Cold HDU Climate Station 6 (demo),2023,8760,7358,0.84,INCOMPLETE,fixture
730142,Cold HDU Climate Station 7 (demo),2023,8760,7358,0.84,INCOMPLETE,fixture
730143,Cold HDU Climate Station 1 (demo),2023,8760,7183,0.82,INCOMPLETE,fixture
730144,Cold HDU Climate Station 2 (demo),2023,8760,7183,0.82,INCOMPLETE,fixture
730145,Cold HDU Climate Station 3 (demo),2023,8760,7008,0.8,INCOMPLETE,fixture
730146,Cold HDU Climate Station 4 (demo),2023,8760,7008,0.8,INCOMPLETE,fixture
730147,Cold HDU Climate Station 5 (demo),2023,8760,8672,0.99,COMPLETE,fixture
730148,Cold LDU Climate Station 6 (demo),2023,8760,8497,0.97,COMPLETE,fixture
730149,Cold LDU Climate Station 7 (demo),2023,8760,8497,0.97,COMPLETE,fixture
730150,Cold LDU Climate Station 1 (demo),2023,8760,8322,0.95,COMPLETE,fixture
730151,Cold LDU Climate Station 2 (demo),2023,8760,8322,0.95,COMPLETE,fixture
730152,Cold LDU Climate Station 3 (demo),2023,8760,8147,0.93,COMPLETE,fixture
730153,Cold LDU Climate Station 4 (demo),2023,8760,8147,0.93,COMPLETE,fixture
730154,Cold LDU Climate Station 5 (demo),2023,8760,7972,0.91,COMPLETE,fixture
730155,Cold LDU Climate Station 6 (demo),2023,8760,7972,0.91,COMPLETE,fixture
730156,Cold LDU Climate Station 7 (demo),2023,8760,7796,0.89,INCOMPLETE,fixture
730157,Cold LDU Climate Station 1 (demo),2023,8760,7796,0.89,INCOMPLETE,fixture
730158,Cold LDU Climate Station 2 (demo),2023,8760,7621,0.87,INCOMPLETE,fixture
730159,Cold LDU Climate Station 3 (demo),2023,8760,7621,0.87,INCOMPLETE,fixture
730160,Cold LDU Climate Station 4 (demo),2023,8760,7446,0.85,INCOMPLETE,fixture
730161,Cold LDU Climate Station 5 (demo),2023,8760,7446,0.85,INCOMPLETE,fixture
730162,Cold LDU Climate Station 6 (demo),2023,8760,7271,0.83,INCOMPLETE,fixture
730163,Cold LDU Climate Station 7 (demo),2023,8760,7271,0.83,INCOMPLETE,fixture
730164,Cold LDU Climate Station 1 (demo),2023,8760,7096,0.81,INCOMPLETE,fixture
730165,Cold LDU Climate Station 2 (demo),2023,8760,7096,0.81,INCOMPLETE,fixture
730166,Cold LDU Climate Station 3 (demo),2023,8760,8760,1.0,COMPLETE,fixture
730167,Cold LDU Climate Station 4 (demo),2023,8760,8760,1.0,COMPLETE,fixture
730168,Cold LDU Climate Station 5 (demo),2023,8760,8585,0.98,COMPLETE,fixture
730169,Cold LDU Climate Station 6 (demo),2023,8760,8585,0.98,COMPLETE,fixture
730170,Cold LDU Climate Station 7 (demo),2023,8760,8410,0.96,COMPLETE,fixture
730171,Cold LDU Climate Station 1 (demo),2023,8760,8410,0.96,COMPLETE,fixture
730172,Cold LDU Climate Station 2 (demo),2023,8760,8234,0.94,COMPLETE,fixture
730173,Cold LDU Climate Station 3 (demo),2023,8760,8234,0.94,COMPLETE,fixture
730174,Cold LDU Climate Station 4 (demo),2023,8760,8059,0.92,COMPLETE,fixture
730175,Cold LDU Climate Station 5 (demo),2023,8760,8059,0.92,COMPLETE,fixture
730176,Cold LDU Climate Station 6 (demo),2023,8760,7884,0.9,COMPLETE,fixture
730177,Cold LDU Climate Station 7 (demo),2023,8760,7884,0.9,COMPLETE,fixture
730178,Cold LDU Climate Station 1 (demo),2023,8760,7709,0.88,INCOMPLETE,fixture
730179,Cold LDU Climate Station 2 (demo),2023,8760,7709,0.88,INCOMPLETE,fixture
730180,Cold LDU Climate Station 3 (demo),2023,8760,7534,0.86,INCOMPLETE,fixture
730181,Cold LDU Climate Station 4 (demo),2023,8760,7534,0.86,INCOMPLETE,fixture
730182,Cold LDU Climate Station 5 (demo),2023,8760,7358,0.84,INCOMPLETE,fixture
730183,Cold LDU Climate Station 6 (demo),2023,8760,7358,0.84,INCOMPLETE,fixture
730184,Cold LDU Climate Station 7 (demo),2023,8760,7183,0.82,INCOMPLETE,fixture
730185,Cold LDU Climate Station 1 (demo),2023,8760,7008,0.8,INCOMPLETE,fixture
730186,Cold LDU Climate Station 2 (demo),2023,8760,7008,0.8,INCOMPLETE,fixture
730187,Cold LDU Climate Station 3 (demo),2023,8760,8672,0.99,COMPLETE,fixture
730188,Cold LDU Climate Station 4 (demo),2023,8760,8672,0.99,COMPLETE,fixture
730189,Cold LDU Climate Station 5 (demo),2023,8760,8497,0.97,COMPLETE,fixture
730190,Cold LDU Climate Station 6 (demo),2023,8760,8497,0.97,COMPLETE,fixture
730191,Cold LDU Climate Station 7 (demo),2023,8760,8322,0.95,COMPLETE,fixture
730192,Cold LDU Climate Station 1 (demo),2023,8760,8322,0.95,COMPLETE,fixture
730193,Cold LDU Climate Station 2 (demo),2023,8760,8147,0.93,COMPLETE,fixture
730194,Cold LDU Climate Station 3 (demo),2023,8760,8147,0.93,COMPLETE,fixture
730195,Cold LDU Climate Station 4 (demo),2023,8760,7972,0.91,COMPLETE,fixture
730196,Cold LDU Climate Station 5 (demo),2023,8760,7972,0.91,COMPLETE,fixture
730197,Cold LDU Climate Station 6 (demo),2023,8760,7796,0.89,INCOMPLETE,fixture
730198,Cold LDU Climate Station 7 (demo),2023,8760,7796,0.89,INCOMPLETE,fixture
730199,Cold LDU Climate Station 1 (demo),2023,8760,7621,0.87,INCOMPLETE,fixture
730200,Cold LDU Climate Station 2 (demo),2023,8760,7621,0.87,INCOMPLETE,fixture
730201,Cold LDU Climate Station 3 (demo),2023,8760,7446,0.85,INCOMPLETE,fixture
730202,Cold LDU Climate Station 4 (demo),2023,8760,7446,0.85,INCOMPLETE,fixture
730203,Cold LDU Climate Station 5 (demo),2023,8760,7271,0.83,INCOMPLETE,fixture
730204,Cold LDU Climate Station 6 (demo),2023,8760,7271,0.83,INCOMPLETE,fixture
730205,Cold LDU Climate Station 7 (demo),2023,8760,7096,0.81,INCOMPLETE,fixture
730206,Cold LDU Climate Station 1 (demo),2023,8760,7096,0.81,INCOMPLETE,fixture
730207,Cold LDU Climate Station 2 (demo),2023,8760,8760,1.0,COMPLETE,fixture
730208,Cold LDU Climate Station 3 (demo),2023,8760,8760,1.0,COMPLETE,fixture
730209,Cold LDU Climate Station 4 (demo),2023,8760,8585,0.98,COMPLETE,fixture
730210,Cold LDU Climate Station 5 (demo),2023,8760,8585,0.98,COMPLETE,fixture
730211,Cold LDU Climate Station 6 (demo),2023,8760,8410,0.96,COMPLETE,fixture
730212,Cold LDU Climate Station 7 (demo),2023,8760,8410,0.96,COMPLETE,fixture
730213,Cold LDU Climate Station 1 (demo),2023,8760,8234,0.94,COMPLETE,fixture
730214,Cold LDU Climate Station 2 (demo),2023,8760,8234,0.94,COMPLETE,fixture
730215,Cold LDU Climate Station 3 (demo),2023,8760,8059,0.92,COMPLETE,fixture
730216,Cold LDU Climate Station 4 (demo),2023,8760,8059,0.92,COMPLETE,fixture
730217,Cold LDU Climate Station 5 (demo),2023,8760,7884,0.9,COMPLETE,fixture
730218,Cold LDU Climate Station 6 (demo),2023,8760,7884,0.9,COMPLETE,fixture
730219,Cold LDU Climate Station 7 (demo),2023,8760,7709,0.88,INCOMPLETE,fixture
730220,Cold LDU Climate Station 1 (demo),2023,8760,7534,0.86,INCOMPLETE,fixture
730221,Cold LDU Climate Station 2 (demo),2023,8760,7534,0.86,INCOMPLETE,fixture
730222,Cold LDU Climate Station 3 (demo),2023,8760,7358,0.84,INCOMPLETE,fixture
730223,Cold LDU Climate Station 4 (demo),2023,8760,7358,0.84,INCOMPLETE,fixture
730224,Cold LDU Climate Station 5 (demo),2023,8760,7183,0.82,INCOMPLETE,fixture
730225,Cold LDU Climate Station 6 (demo),2023,8760,7183,0.82,INCOMPLETE,fixture
730226,Cold LDU Climate Station 7 (demo),2023,8760,7008,0.8,INCOMPLETE,fixture
730227,Cold LDU Climate Station 1 (demo),2023,8760,7008,0.8,INCOMPLETE,fixture
730228,Cold LDU Climate Station 2 (demo),2023,8760,8672,0.99,COMPLETE,fixture
730229,Cold LDU Climate Station 3 (demo),2023,8760,8672,0.99,COMPLETE,fixture
730230,Cold LDU Climate Station 4 (demo),2023,8760,8497,0.97,COMPLETE,fixture
730231,Cold LDU Climate Station 5 (demo),2023,8760,8497,0.97,COMPLETE,fixture
730232,Cold LDU Climate Station 6 (demo),2023,8760,8322,0.95,COMPLETE,fixture
730233,Cold LDU Climate Station 7 (demo),2023,8760,8322,0.95,COMPLETE,fixture
730234,Cold LDU Climate Station 1 (demo),2023,8760,8147,0.93,COMPLETE,fixture
730235,Cold LDU Climate Station 2 (demo),2023,8760,8147,0.93,COMPLETE,fixture
730236,Cold LDU Climate Station 3 (demo),2023,8760,7972,0.91,COMPLETE,fixture
730237,Cold LDU Climate Station 4 (demo),2023,8760,7972,0.91,COMPLETE,fixture
730238,Cold LDU Climate Station 5 (demo),2023,8760,7796,0.89,INCOMPLETE,fixture
730239,Cold LDU Climate Station 6 (demo),2023,8760,7796,0.89,INCOMPLETE,fixture
730240,Cold LDU Climate Station 7 (demo),2023,8760,7621,0.87,INCOMPLETE,fixture
730241,Cold LDU Climate Station 1 (demo),2023,8760,7621,0.87,INCOMPLETE,fixture
730242,Cold LDU Climate Station 2 (demo),2023,8760,7446,0.85,INCOMPLETE,fixture
730243,Cold LDU Climate Station 3 (demo),2023,8760,7446,0.85,INCOMPLETE,fixture
730244,Cold LDU Climate Station 4 (demo),2023,8760,7271,0.83,INCOMPLETE,fixture
730245,Cold LDU Climate Station 5 (demo),2023,8760,7271,0.83,INCOMPLETE,fixture
730246,Cold LDU Climate Station 6 (demo),2023,8760,7096,0.81,INCOMPLETE,fixture
730247,Cold LDU Climate Station 7 (demo),2023,8760,7096,0.81,INCOMPLETE,fixture
730248,Cold LDU Climate Station 1 (demo),2023,8760,8760,1.0,COMPLETE,fixture
730249,Cold LDU Climate Station 2 (demo),2023,8760,8760,1.0,COMPLETE,fixture
730250,Cold LDU Climate Station 3 (demo),2023,8760,8585,0.98,COMPLETE,fixture
730251,Cold LDU Climate Station 4 (demo),2023,8760,8585,0.98,COMPLETE,fixture
730252,Cold LDU Climate Station 5 (demo),2023,8760,8410,0.96,COMPLETE,fixture
730253,Cold LDU Climate Station 6 (demo),2023,8760,8410,0.96,COMPLETE,fixture
730254,Cold LDU Climate Station 7 (demo),2023,8760,8234,0.94,COMPLETE,fixture
730255,Cold LDU Climate Station 1 (demo),2023,8760,8234,0.94,COMPLETE,fixture
730256,Cold LDU Climate Station 2 (demo),2023,8760,8059,0.92,COMPLETE,fixture
730257,Cold LDU Climate Station 3 (demo),2023,8760,7884,0.9,COMPLETE,fixture
730258,Cold LDU Climate Station 4 (demo),2023,8760,7884,0.9,COMPLETE,fixture
730259,Cold LDU Climate Station 5 (demo),2023,8760,7709,0.88,INCOMPLETE,fixture
730260,Cold LDU Climate Station 6 (demo),2023,8760,7709,0.88,INCOMPLETE,fixture
730261,Cold LDU Climate Station 7 (demo),2023,8760,7534,0.86,INCOMPLETE,fixture
730262,Cold LDU Climate Station 1 (demo),2023,8760,7534,0.86,INCOMPLETE,fixture
730263,Cold LDU Climate Station 2 (demo),2023,8760,7358,0.84,INCOMPLETE,fixture
730264,Cold LDU Climate Station 3 (demo),2023,8760,7358,0.84,INCOMPLETE,fixture
730265,Cold LDU Climate Station 4 (demo),2023,8760,7183,0.82,INCOMPLETE,fixture
730266,Cold LDU Climate Station 5 (demo),2023,8760,7183,0.82,INCOMPLETE,fixture
730267,Cold LDU Climate Station 6 (demo),2023,8760,7008,0.8,INCOMPLETE,fixture
730268,Cold LDU Climate Station 7 (demo),2023,8760,7008,0.8,INCOMPLETE,fixture
730269,Cold LDU Climate Station 1 (demo),2023,8760,8672,0.99,COMPLETE,fixture
730270,Cold LDU Climate Station 2 (demo),2023,8760,8672,0.99,COMPLETE,fixture
730271,Cold LDU Climate Station 3 (demo),2023,8760,8497,0.97,COMPLETE,fixture
730272,Cold LDU Climate Station 4 (demo),2023,8760,8497,0.97,COMPLETE,fixture
730273,Cold LDU Climate Station 5 (demo),2023,8760,8322,0.95,COMPLETE,fixture
730274,Cold LDU Climate Station 6 (demo),2023,8760,8322,0.95,COMPLETE,fixture
730275,Cold LDU Climate Station 7 (demo),2023,8760,8147,0.93,COMPLETE,fixture
730276,Cold LDU Climate Station 1 (demo),2023,8760,8147,0.93,COMPLETE,fixture
730277,Cold LDU Climate Station 2 (demo),2023,8760,7972,0.91,COMPLETE,fixture
730278,Cold LDU Climate Station 3 (demo),2023,8760,7972,0.91,COMPLETE,fixture
730279,Cold LDU Climate Station 4 (demo),2023,8760,7796,0.89,INCOMPLETE,fixture
730280,Cold LDU Climate Station 5 (demo),2023,8760,7796,0.89,INCOMPLETE,fixture
730281,Cold LDU Climate Station 6 (demo),2023,8760,7621,0.87,INCOMPLETE,fixture
730282,Cold LDU Climate Station 7 (demo),2023,8760,7621,0.87,INCOMPLETE,fixture
730283,Cold LDU Climate Station 1 (demo),2023,8760,7446,0.85,INCOMPLETE,fixture
730284,Cold LDU Climate Station 2 (demo),2023,8760,7446,0.85,INCOMPLETE,fixture
730285,Cold LDU Climate Station 3 (demo),2023,8760,7271,0.83,INCOMPLETE,fixture
730286,Cold LDU Climate Station 4 (demo),2023,8760,7271,0.83,INCOMPLETE,fixture
730287,Cold LDU Climate Station 5 (demo),2023,8760,7096,0.81,INCOMPLETE,fixture
730288,Cold LDU Climate Station 6 (demo),2023,8760,7096,0.81,INCOMPLETE,fixture
730289,Cold LDU Climate Station 7 (demo),2023,8760,8760,1.0,COMPLETE,fixture
730290,Cold LDU Climate Station 1 (demo),2023,8760,8760,1.0,COMPLETE,fixture
730291,Cold LDU Climate Station 2 (demo),2023,8760,8585,0.98,COMPLETE,fixture
730292,Cold LDU Climate Station 3 (demo),2023,8760,8410,0.96,COMPLETE,fixture
730293,Cold LDU Climate Station 4 (demo),2023,8760,8410,0.96,COMPLETE,fixture
730294,Cold LDU Climate Station 5 (demo),2023,8760,8234,0.94,COMPLETE,fixture
730295,Cold LDU Climate Station 6 (demo),2023,8760,8234,0.94,COMPLETE,fixture
730296,Cold Suburban Climate Station 7 (demo),2023,8760,8059,0.92,COMPLETE,fixture
730297,Cold Suburban Climate Station 1 (demo),2023,8760,8059,0.92,COMPLETE,fixture
730298,Cold Suburban Climate Station 2 (demo),2023,8760,7884,0.9,COMPLETE,fixture
730299,Cold Suburban Climate Station 3 (demo),2023,8760,7884,0.9,COMPLETE,fixture
730300,Cold Suburban Climate Station 4 (demo),2023,8760,7709,0.88,INCOMPLETE,fixture
730301,Cold Suburban Climate Station 5 (demo),2023,8760,7709,0.88,INCOMPLETE,fixture
