zip_code,zcta,county_geoid,county_label,cbsa_code,cbsa_label,state,climate_region,urbanicity,urbanicity_short,allocation_ratio,match_type,uncertainty_note,source_version,latitude,longitude
13044,13044,36075,,45060,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55016,55016,27163,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55017,55017,27059,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
13051,13051,36067,,45060,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55019,55019,27131,,22060,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55024,55024,27037,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
13061,13061,36053,,45060,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55026,55026,27049,,39860,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55029,55029,27059,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
13062,13062,36109,,27060,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55031,55031,27037,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55036,55036,27115,,,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
13063,13063,36067,,45060,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55042,55042,27163,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55043,55043,27163,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
13064,13156,36011,,12180,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55045,55045,27025,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55046,55046,27131,,22060,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
13065,13065,36099,,42900,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55047,55047,27163,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55054,55054,27139,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
13066,13066,36067,,45060,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55055,55055,27163,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55060,55060,27147,,36940,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
13068,13068,36109,,27060,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55063,55063,27115,,,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55066,55066,27049,,39860,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
13054,13054,36065,,46540,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55068,55068,27037,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55071,55071,27163,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
13057,13057,36067,,45060,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55074,55074,27025,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55076,55076,27037,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
13071,13071,36011,,12180,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55077,55077,27037,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55082,55082,27163,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
13076,13076,36075,,45060,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55083,55082,27163,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55084,55084,27025,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
13078,13078,36067,,45060,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55085,55085,27037,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55087,55087,27131,,22060,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
13084,13084,36067,,45060,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55090,55090,27163,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55101,55101,27123,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
13087,13087,36023,,18660,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55102,55102,27123,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55103,55103,27123,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
13088,13088,36067,,45060,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55104,55104,27123,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55105,55105,27123,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
13089,13090,36067,,45060,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55106,55106,27123,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55108,55108,27123,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
13090,13090,36067,,45060,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55111,55111,27053,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55114,55114,27123,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
13093,13126,36075,,45060,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55115,55115,27163,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55116,55116,27123,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
13101,13101,36023,,18660,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55117,55117,27123,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
55120,55120,27037,,33460,,MN,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
13102,13102,36109,,27060,,NY,Cold & Very Cold,,,1.0,HUD-USPS ZIP-COUNTY (residential ratio); one row per ZIP×county retained,ZCTA from the supplied ZIP→ZCTA relationship file (ZIP and ZCTA remain distinct geographies). CBSA is the ZIP's primary HUD ZIP-CBSA match; confirm county→CBSA membership against the OMB delineation.,HUD-USPS ZIP crosswalk Q1 2025,,
